1, 0.106, 0.07, 0.0825, 0.063, 0.059, 0.056
1025, 17.59, 14.258, 1.17908, 0.126524, 0.029, 0.036
2049, 23.121, 15.398, 2.26786, 0.121678, 0.028, 0.032
3073, 25.788, 0.21, 3.40921, 0.12731, 0.034, 0.037
4097, 36.606, 12.517, 4.41815, 0.1308, 0.031, 0.034
5121, 25.621, 14.122, 5.45271, 0.141211, 0.032, 0.044
6145, 39.351, 14.079, 6.4845, 0.142566, 0.037, 0.045
7169, 73.12, 2.556, 7.58991, 0.139212, 0.036, 0.034
8193, 166.058, 13.954, 8.62972, 0.147257, 0.034, 0.039
9217, 80.853, 12.22, 9.65625, 0.14022, 0.03, 0.046
10241, 66.54, 13.931, 10.7287, 0.151824, 0.037, 0.047
11265, 83.502, 13.922, 11.8137, 0.15239, 0.037, 0.05
12289, 108.403, 14.276, 13.1771, 0.156342, 0.047, 0.048
13313, 108.71, 14.452, 14.8193, 0.168514, 0.038, 0.038
14337, 119.505, 16.772, 15.6984, 0.161022, 0.03, 0.043
15361, 86.993, 13.947, 16.1593, 0.154921, 0.034, 0.037
16385, 150.298, 13.91, 17.2226, 0.159763, 0.037, 0.04
17409, 121.956, 14.051, 18.2418, 0.156475, 0.038, 0.037
18433, 138.69, 12.31, 19.3138, 0.158854, 0.035, 0.043
19457, 147.064, 14.144, 20.3674, 0.16213, 0.038, 0.044
20481, 155.823, 14.399, 21.4153, 0.161934, 0.037, 0.045
21505, 152.538, 27.983, 22.5444, 0.165205, 0.037, 0.024
22529, 151.081, 17.023, 23.5381, 0.163188, 0.037, 0.025
23553, 120.213, 14.099, 24.5899, 0.162957, 0.036, 0.035
24577, 203.51, 14.38, 25.6417, 0.167135, 0.033, 0.043
25601, 114.461, 22.735, 26.6895, 0.168919, 0.046, 0.038
26625, 179.037, 14.508, 27.7666, 0.167463, 0.032, 0.047
27649, 180.979, 20.616, 28.8466, 0.169728, 0.032, 0.033
28673, 131.018, 14.644, 29.9076, 0.168116, 0.037, 0.035
29697, 205.344, 14.327, 30.985, 0.169643, 0.03, 0.038
30721, 153.579, 16.737, 32.1229, 0.173594, 0.038, 0.044
31745, 141.095, 14.02, 33.0803, 0.169882, 0.038, 0.045
32769, 165.84, 54.401, 34.1682, 0.176445, 0.032, 0.037
33793, 210.421, 16.565, 35.2362, 0.174626, 0.039, 0.048
34817, 249.019, 14.719, 36.3722, 0.173747, 0.038, 0.038
35841, 214.033, 13.956, 37.4088, 0.172925, 0.03, 0.035
36865, 168.031, 15.477, 38.3652, 0.173986, 0.036, 0.043
37889, 145.665, 14.007, 39.4417, 0.181029, 0.032, 0.043
38913, 226.36, 15.954, 40.5178, 0.177262, 0.03, 0.047
39937, 276.499, 14.841, 41.5594, 0.178506, 0.039, 0.039
40961, 233.235, 16.962, 42.6435, 0.181403, 0.037, 0.041
41985, 228.072, 15.764, 43.6703, 0.18147, 0.035, 0.036
43009, 222.37, 16.613, 44.745, 0.178022, 0.035, 0.037
44033, 261.036, 14.128, 45.8154, 0.181995, 0.036, 0.041
45057, 372.071, 53.789, 46.9633, 0.181111, 0.041, 0.039
46081, 229.593, 15.379, 47.9792, 0.180646, 0.038, 0.044
47105, 376.69, 16.161, 49.0539, 0.185812, 0.037, 0.046
48129, 218.991, 16.787, 50.142, 0.184878, 0.038, 0.044
49153, 241.304, 14.244, 51.1541, 0.189526, 0.038, 0.037
50177, 207.347, 16.527, 52.1895, 0.186527, 0.034, 0.038
51201, 217.293, 16.803, 53.27, 0.188681, 0.037, 0.036
52225, 228.685, 50.584, 54.5469, 0.191786, 0.038, 0.036
53249, 231.882, 14.934, 55.3579, 0.187329, 0.037, 0.045
54273, 291.57, 14.576, 56.9674, 0.187999, 0.04, 0.033
55297, 320.442, 18.622, 59.2172, 0.195235, 0.036, 0.038
56321, 295.695, 16.611, 60.3096, 0.1967, 0.034, 0.038
